Season,Episode,Character,Line
2,4,Stan,hey are we supposed to get your little brother presents for a bris
8,3,Cartman,eup
4,7,Stan,go on butters
1,5,Chef,well boys we might not know that for a couple of days
5,8,Stan,towelie
12,4,Kyle,they said we have to give them money that we make on the internet
7,12,Mr. Garrison,gary was state champion in wrestling and in tennis  he also maintained a 40 grade point average at his old school and has been on two national commercials for toothpaste
3,12,Cartman,nyah nyahnyahnyah nyah nyah guess whaat i got antonio banderas blowup doll you guys didnt get one
1,9,Mr. Garrison,okay children weve just received word from the mayor that the christmas play cant include any christmas lights since they offend people with epilepsy
9,2,Mr. Mackey,they they s they stopped somethings wrong
3,6,Mr. Garrison,right desks well a lot of cuts had to be made since the schools funding is short for lawsuits
1,1,Chef,oh was it the ones with the big long heads and the black eyes
15,5,Stan,maybe or maybe we havent been told such a big fib after all
12,12,Mr. Mackey,with an inexperienced man as president we do know it he is right game over man okay
1,9,Mr. Mackey,now i also understand that youre jewish is that right kyle
2,18,Kyle,steve
1,11,Mr. Garrison,i can live with that
4,6,Kyle,dont you think you owe everyone an apology for bringing nambla here
3,3,Chef,veronica surprised me at the office and took me out to dinner  shes so amazing
16,2,Kyle,thats the chemical equation for gold
14,9,Kyle,get out of here you piece of garbage you wanna smoosh go creepin somewheres else
15,14,Cartman,not much huh my mom is so poor when she heard about the last supper she thought she was running out of food stamps
7,2,Mr. Garrison,what an inspiration
2,12,Mr. Mackey,uh uuh taking over any conversations bad
1,7,Chef,elvis im evel knievel why the hell would i dress up like elvis
2,8,Mr. Garrison,mr hat isnt real
17,10,Mr. Mackey,wendy in my office right now okay
18,7,Kyle,hey cartman i need to talk to you
13,12,Cartman,god damn it why is it every time we try to have a relaxing day a bunch of asshole on their harley motorcycles show up
4,13,Mr. Garrison,very enthralling okay ike how about you
15,4,Mr. Mackey,youre right they they really seem into it mkay
14,14,Sharon,ugghh
10,8,Butters,i got world of warcraft like you said
9,5,Sharon,so then dont you dont have to get in fights with other parents at little league games just sit there and watch
14,14,Sharon,ugh im tired
17,3,Mr. Mackey,eric do you feel better about all this
2,9,Kenny,wait
16,8,Randy,oh theyd love it a sport where safety is all that matters how about we call it sarcastaball
3,8,Butters,thaat sounds awful dangerous
17,10,Mr. Mackey,wendy in my office right now okay
6,14,Cartman,no it was kenny
18,1,Kenny,what
12,10,Sharon,hey time for dinner guys
6,1,Chef,well if you want him to get really fat as fast as possible one of you will have to marry him
18,10,Randy,i guess one step at a time
16,8,Butters,okay dad  oh saaave that for later
12,9,Butters,shes coming shes coming
18,9,Sharon,yes
3,9,Kenny,heeeeeyah ugh
17,6,Mr. Mackey,well kyle living with a lie is never a good thing okay could could you maybe just tell me
13,6,Randy,uh yeah yeah thats all we need huh stan  oh boy
18,7,Butters,they did it  they figured it out  whoopie
10,1,Chef,pooot
15,7,Stan,dude you totally lied to me
5,10,Kenny,youve ever done
2,2,Chef,what do you want me to do
9,6,Butters,wow
1,2,Mr. Garrison,it it wasnt fair she had choreography how could we compete that
18,2,Randy,well thats just a beer
5,6,Kyle,but its okay stan because i finally figured it out you see if someone like cartman can get a million dollars and his own theme park then there is no god theres no god dude
12,11,Kyle,whoa i dont think anyones been in here for centuries
3,4,Kenny,woohooo
8,4,Sharon,those kids showed up to serve stan again and he danced back
2,15,Sharon,oh uhofficer barbrady woowhat what a surprise wwhat can i do for you
11,1,Stan,hey token i just wanted to let you know that everything is cool now my dad apologized to jesse jackson
1,1,Kyle,yeah boy am i glad to see you ike
4,2,Cartman,tih  tooth  what the hell mom
1,13,Kenny,oof oh this goddamned freakin  aargh  goddamn why  oh this freakin  aargh  phew  well im fine guys  now if i can
18,3,Butters,hes not a woman hes not a man he is something that youll never understand but he would die for me
18,2,Randy,you cant just keep us in here
13,5,Cartman,what dude you got something
18,7,Butters,oh yeah that it would split my neurons and scramble my brains i forgot
7,11,Stan,dude thats not funny you shouldnt joke about that
12,2,Randy,an incredible harvest some of the best corn ive seen in years
3,8,Mr. Mackey,hello welcome hmkay this is already a wild party hm
6,3,Cartman,uh oh were losin him
17,2,Sharon,diamonds  theyre beautiful
7,11,Cartman,sweet whatever  bingo
13,13,Mr. Mackey,oh this is it huh okay uhhh mike why dont we have you try out first ituh mkay
1,10,Mr. Garrison,yeah i think i left your oven on too
2,7,Kenny,take that  you dick that is for me and that that and that that and that that that that
13,7,Cartman,okay okay lets stop there for a minute remember on tricka lahty do thats a lahty do okay really need you guys to enunciate the lahty uh nadif if i can get you and abdikaram to sing the harmony on the second yo ho and uh hashmish is it im sorry but youre a little flat remember to sing out dont close your throat mkay so lets go from uh bar 14 well pick up after the quarter rest ike
16,8,Cartman,holy shit i think i do
6,5,Stan,oh god its horrible
7,1,Stan,dude i have no idea what were seeing right now but i have a feeling its really really wrong
18,1,Kyle,maybe ill start my own company
2,12,Sharon,come on stanley
15,6,Butters,inspector butters is on the case heheh he this is fun
6,7,Chef,uhh maybe youd better start from the beginning
4,7,Stan,hey mr garrison where have you been
2,17,Kyle,does anybody know anything about corporations
3,10,Stan,yeah dude dont you know its all about the chinpokomon video game now did you bring your special chinpokomon game controller
12,11,Kyle,yeah stuff just happens
7,12,Mr. Garrison,okay children lets take our seats  we have a new student joining us today who has just moved here from utah i want you all to say hi to gary
4,4,Kyle,phil collins is playing lalapalalas and because were all doing so well in school now our parents said they would take us
15,10,Mr. Mackey,spearheaded by you mkay made him feel there was no other way out
1,9,Kenny,kyle has jesus head instead
8,6,Stan,stop you fucking lunatic
6,5,Butters,they have to show it they promised they would
12,10,Cartman,no trabajar aqui vaya no pleya la musica en la promenade no es bueno
5,13,Cartman,look i can offer you seventyfive dollars for that fetus right now jill
10,8,Stan,dude im almost dead
16,12,Sharon,yehay
8,9,Chef,we know how to destroy it now spread the word to all the towns
15,10,Mr. Mackey,were not bad i mean maybe what we needed was just to think outside the box here i mean if theres anything weve learned is that the only thing that makes a juicy story go away is a juicier story
1,7,Chef,the doctor said the first people he treated were the mortician and his assistant now ive gotta hunch well get to the bottom of this at the morgue
3,12,Cartman,we could shove a stick up her ass and use her like a puppet rowr rowr im scary grandma
6,10,Butters,wuuhh its really funyou toss these little rocks at cars and if the driver gets angry you blame me
13,5,Butters,hey look theres kevin stoley  hey kevin do you like fishsticks
10,7,Cartman,mom i want this guy out of here you got it if hes not gone in two minutes i will call social services on you
14,2,Butters,you think i care about that my writing got the most beautiful woman in the world killed i loved her and if she died it was because of me
4,15,Kenny,ten bucks
6,3,Cartman,uh oh were losin him
17,7,Butters,well wizard cartman i started watching game of thrones
4,2,Cartman,what the
17,6,Mr. Mackey,you catch any of that kyle
14,2,Butters,uh yeah pretty much i think think so
17,5,Kyle,ike im sorry but i couldnt get us out of school friday i cant take you to yo gabba gabba live
10,1,Chef,i just like to make love up your butt
2,12,Randy,hoho stan youre so young you just dont get it  well anyway have a nice day
8,1,Stan,yeah huh i got you
6,10,Cartman,and this is precious
15,10,Mr. Mackey,we get a bus and then we throw eric cartman under it
8,1,Chef,well you children should be careful with those you could put somebodys eye out
16,5,Butters,oh hamburgers
5,14,Mr. Garrison,who is that
2,5,Chef,i said ive always wanted to visit prague
2,4,Mr. Garrison,okay children lets take our seats this morning were going to have a special lecture by your school counselor mr mackey
11,6,Cartman,oh yeah dude havin mexicans around totally kicks fuckin ass
14,8,Kenny,what
4,9,Sharon,what did you do
17,2,Kyle,someone is teaching our parents minecraft
3,9,Kenny,uheheheheh thats stupid
6,10,Mr. Mackey,mkay we all need to start studying more and fighting less mkay
9,12,Stan,i cant im writing a new sacred doctrine for my church
5,11,Mr. Garrison,it gets over 300 miles to the gallon and is safely capable of speeds of over 200 miles per hour
5,2,Randy,thats better
2,11,Mr. Garrison,okay children lets quiet down so the nice bus driver can concentrate on the road
7,3,Butters,well im just a little asshole is what i am when god made me he must have not been payin very close attention cause i turned out wrong just plain wrong
1,4,Chef,whats the matter
7,1,Chef,that aint no police
1,13,Chef,ooooh man im outta here
8,9,Chef,they why dont you just quit
1,11,Chef,thaats right
4,12,Mr. Mackey,no its really not as nice as you might imagine chef mkay
4,12,Chef,some say that on cold nights you can still hear him moanin im not gaaay im not gaaay
2,4,Mr. Mackey,but
14,2,Sharon,what do we do randy we cant support our son talking like this but i i mean
2,11,Mr. Mackey,well ive never seen anything like this what do you think principal
13,5,Cartman,motherfucker
2,10,Sharon,come on stanley give your sister a kiss and then we have to go
4,13,Kyle,hes going to kindergarten because hes a genius
4,2,Stan,how much do we get if we work for you
6,1,Butters,look fellas i cant do it my mom and dad call in every hour from work to make sure i am here if i dont answer the phphone itll know im im up to no good
8,5,Butters,"i love to brush my teeth in the mornin and at night
to keep em white and healthy i got to brush them all the time"
14,14,Sharon,oh  this thing is so great it reminds me when i havent worked out in a while
16,2,Stan,do you have any idea what it would feel like to start losing your memories no because you dont have someone in your life suffering from alzheimers well i do
2,3,Stan,oh never mind
1,3,Cartman,hey you would taste my pee
10,12,Cartman,all right you got the spot figured out youre not gonna lose where i am right
1,7,Chef,elvis im evel knievel why the hell would i dress up like elvis
1,13,Chef,get in here
16,3,Kenny,oh fuck it dude
13,9,Butters,what happened is that i became a man im sorry im not your little buddy anymore but theres a time people have to grow up  do you know what i am saying
5,8,Stan,alright that does it brake angrily kenny  now listen towelie weve just about had it with you
8,5,Butters,when cartman is playing all alone in his backyard he likes to dress up like britney spears and pretend hes her he sings and dances around with a lifesized cutout of justin timberlake
18,6,Kenny,yeah
3,9,Kenny,what the fuck is that
7,13,Randy,pfft thats nones the cool
16,11,Butters,whoa its like gasoline
15,5,Stan,kyle kyle look
18,7,Butters,eric uh what are you doing here
6,1,Stan,now hes got lots of moneys and girls
4,15,Chef,"you see children sometimes a man needs to be with a woman but sometimes when the lovin is over the woman just wants to talk and talk and talk and talk 
but a prostitute is someone who would love you
no matter who you are or what you look like
yes its true children
thats not why you pay a prostitute
no you dont pay her to stay you pay her to leave afterwards
thats why i pays a lot for prostitutes
ladies and gentlemen mr james taylor"
5,11,Mr. Garrison,what well of course i didnt make it the line to check in was two hours long and the security line was two hours more
14,10,Sharon,uh okay fine so youre gonna take my son to a dream within a dream and then what
17,2,Sharon,ive got a surprise for you too randy
6,10,Mr. Mackey,mkay kids lets take our seats mkay  i know this has been a difficult couple oweeks for you all with the untimely death of your teacher but its time for us to try to move on and learn mkay
1,4,Stan,hes not meaner than sparky
3,4,Kenny,woohooo
16,2,Stan,yes grandpa
2,4,Mr. Mackey,uh uh
5,7,Kyle,yeah you get out of town
9,3,Kyle,you think you own the entertainment business but you dont give us back wing right now
3,1,Mr. Garrison,kenny mccormick you speak when youre spoken to  go ahead
13,9,Butters,hey fellers fellers do you like gettin kisses cause i know a girl thatll give you a great kiss for just five dollars
5,1,Chef,hold on a minute mr producer
1,1,Chef,how are you doing
3,17,Mr. Garrison,sure you can go off and screw any whore on wyland street but when it came to your own son you were just too busy
6,3,Butters,uh but thats me im butters
10,1,Stan,no
7,12,Mr. Garrison,okay children lets take our seats  we have a new student joining us today who has just moved here from utah i want you all to say hi to gary
7,5,Kyle,come in  come in
4,4,Kenny,hello chef
15,11,Sharon,im just gonna wait up for shelly
11,13,Butters,theyre gonna do it
3,11,Kenny,you guys just fly away
16,1,Randy,thanks
5,2,Randy,well weva all learned an important lesson that just because somebodys gay doesnt mean theyre gonna molest children straight people do that too
6,13,Stan,yeah butters my parents now the sixth graders
4,6,Mr. Garrison,oogh
15,13,Cartman,yeah and now my video game time is getting screwed over by them
15,4,Randy,you just dont go around changing math who the hell is this chick surgeon general appointed by obama
11,13,Butters,theyre gonna do it
15,14,Cartman,not much huh my mom is so poor when she heard about the last supper she thought she was running out of food stamps
1,11,Chef,im chef
9,12,Stan,i wrote that um our followers shouldnt fly in dc8s anymore because theyre too much like xenus evil cruisers
3,1,Mr. Mackey,estoy seguro que llegáran ehsolo poquito mas de tiempo ¿mbien im sure the choir will be here we just need a little more time
14,10,Randy,im goin in  if theyre locked into his regression then maybe i can be too
16,11,Kenny,me
5,10,Kenny,youve ever done
17,2,Mr. Mackey,well what the hell is that
5,14,Butters,im back ma
13,11,Stan,no i i dont really care about the tv show im just trying to stop the japanese from killing dolphins and whales
7,11,Stan,dude thats not funny you shouldnt joke about that
11,7,Kyle,what about you
3,13,Kyle,shut up fatass everyone knows i can spell better than you
3,2,Cartman,sweet now im gonna go kill those guys
12,9,Butters,shes coming shes coming
14,8,Kenny,being poor has nothing to do with nascar
4,9,Randy,yeah i wanna see what you guys can do and then well go buy you a small toy so that you can forget all about this
6,1,Stan,come on butters time to go
3,3,Chef,we have a chance to find the sunshine
16,2,Cartman,we got crappy jewelry butters now all we need are some old people
6,7,Chef,oohhh children you misunderstood sea people is different from semen
13,10,Stan,heyhey whoa you shouldnt be fighting anybody what about your cancer
9,11,Cartman,red power
6,13,Kyle,but if the tape must be brought to the house of butters who else can do it
13,14,Butters,whoopie
10,6,Mr. Mackey,mkay students we have a very special guest speaker today who can tell me the name of our countrys last vicepresident
7,12,Stan,no it proves he did make it all up are you blind
15,14,Kenny,what the fuck are you doing here
4,9,Randy,where is stan
9,9,Cartman,tango tango tango weve got it lets get it to the containment center go
8,6,Stan,stop you fucking lunatic
5,12,Mr. Garrison,yeah hey hey you guys know why richers have such big garages cause they need a place for all their porsches and boats and aircraft carriers  yeah thats right cashchucker go have fun with your two million dollar house
7,5,Mr. Mackey,here she comes here she comes
16,6,Kyle,stop
6,7,Butters,he did hawww heck i thought i was bein original
5,13,Kenny,the makeawish foundation
2,18,Stan,no problem gorak
10,3,Kyle,no  aaaah  aaaah
2,15,Stan,youre not gonna get away with this
14,14,Randy,ugh im not staying up to do that sharon jeez
1,10,Kenny,quackquack
2,5,Mr. Mackey,ththe school could put out pamphlets mkay and we could have seminars to educate mkay
1,5,Mr. Garrison,ohh uh gee isnt that an amazing coincidence  hmm what are the odds of that
12,5,Cartman,now you sound like white people
14,10,Butters,yeah uh wendy said to give you this  im like a mailman
11,5,Stan,he was the disciple that jesus made into the first pope
13,1,Cartman,and knowing is half the battle
2,12,Sharon,there you did it again  he interrupted me again
5,13,Stan,but  i didnt get to see him hell i i didnt get to sssay goodbye  did he say anything before he went
1,1,Chef,"oh children children thats a problem weve all had to face at some time or another here let me sing you a little song it might clear things up
im gonna make love to ya woman
gonna lay ya down by the fire
and caress your womanly body
make ya moan and perspire
gonna"
12,10,Stan,ya see craig
2,6,Mr. Mackey,welcome to detention mkay mr garrison told me about your little joke its important for you all to know why youre in detention for you to obtain the full benefits from it
2,4,Kyle,no way theres no real connection between us it was all a big lie
17,5,Mr. Mackey,sorry kyle were gonna need to maybe go somewhere else uh find an intellilink panel somewhere
8,1,Cartman,dr shafley
12,11,Randy,oh god what are we gonna dooo
17,7,Cartman,they dont salute in game of thrones butters
3,17,Mr. Garrison,you stood by and let it happen you saw him come home drunk and then just go right to sleep
12,10,Cartman,no trabajar aqui vaya no pleya la musica en la promenade no es bueno
2,10,Stan,well ive got the remote bitch hahaha
2,8,Mr. Garrison,well im just sayin
2,4,Mr. Mackey,uhuh boys lsd is bad hmmm  man who put all this cotton in my mouth  yeah baby the world is so small  im free im free
7,1,Kyle,cartman dont you remember the last time you had this dream
2,15,Stan,what
10,2,Mr. Mackey,but hybrid cars are the leading cause of smug mkay
2,11,Mr. Mackey,mkay
3,1,Kenny,oh god damn it
3,7,Cartman,well youre pretty ugly but you dont have to be dating 22year olds i mean what kind of scumbag asshole dates 12year old girls
13,8,Kyle,ike ike wake up buddy wake up ike youve gotta wake up please  eh there you go thats good  oh ike i thought i lost you little brother
7,3,Mr. Mackey,uh thats nice officer barbrady but we actually dont need to know
14,14,Sharon,ugghh
13,3,Sharon,all right everyone eat up
3,9,Kenny,ow
18,6,Sharon,well then you certainly have some of those problems too with drinking
6,4,Cartman,we had a deal do you think im stupid dont treat me like im stupid here
16,4,Cartman,well i better be going thanks so much ms broflovski i learned a ton
3,8,Sharon,oh ill pass i dont drink hard alcohol
1,5,Mr. Garrison,stanley what the hell has gotten in to you  you have got severe lunchroom duty mister
2,15,Sharon,how do you like your fish stanley
7,8,Mr. Garrison,chef what did you do when white people stole your culture
3,5,Cartman,jakov
6,13,Randy,the guys at the office told me i had to rent this porno they said this is without a doubt the hottest porno ever made
8,9,Chef,my god look at all these incredible bargains
2,12,Sharon,stanley i thought i told you not to watch this horrible cartoon
4,8,Mr. Mackey,oo wednesday uhwednesdays tough i guess maybe i could do somthin uh thursday afternoon
3,12,Chef,well i must say i still dont get this at all
7,3,Cartman,its over this way come on
7,7,Stan,no
7,10,Kenny,ohhhhh look  you guys
13,6,Randy,will you just give us a minute gau
16,12,Randy,wuhy why isnt anyone showing up  its halloween night people should be renting spooky movies  whats happened to the world things used to be so simple  good evening fine sir i would like to rent a movie
6,1,Butters,ugh  wuh wuh i cant eat no more
11,5,Kyle,happy easter jesus
10,8,Cartman,lets go get him
5,10,Stan,what
7,7,Mr. Garrison,well this is it mr slave were officially homeless
2,17,Mr. Garrison,theyre expecting you to give a big speech on corporate takeovers and this time it has to last five minutes
9,2,Randy,which cord is it
3,9,Kenny,aww  okay you guys weve gotta get back to the camp and 
5,11,Mr. Garrison,it has to be more stable mr hat a moped would be too dangerous at those speeds damnit  now what if the jet power of an aircraft could be scaled down into a personal vehicle
11,5,Kyle,what happened
3,2,Chef,this is just a dream youre still up on that cross
11,2,Butters,oh okay
16,8,Mr. Mackey,huh you you think the students would like that
18,5,Butters,you promised me we wouldnt get in trouble
4,7,Kenny,uh huh
2,11,Mr. Garrison,im just gonna step outside and go weewee
15,8,Stan,enchirito
1,7,Kyle,it looks like a ufo
5,7,Randy,yeah lets get that damned school on the phone
12,6,Sharon,no mister its time for nightnight
6,11,Randy,you can barely even tell you have one on
5,7,Stan,my room why
3,6,Stan,coats
2,2,Chef,i used to watch quincy
14,10,Sharon,are you all saying that you can go into a dream and take people in that dream into their own dream
2,12,Chef,but not like that son like this daaare
8,4,Sharon,well nice going randy really great advice you gave our son here
3,8,Mr. Garrison,great party mr mackey mr hat just grabbed principal victorias ass  no mr hat you get back here
2,5,Chef,yeah whatever you old driedup fat hog
11,8,Butters,uh hey eric
5,12,Cartman,alright ill start ill kick you in the nuts kenny
6,10,Mr. Mackey,mkay interesting token uh who would like to go next  uh how about someone who didnt write about how cool bebe is
2,15,Kenny,uh huh
6,13,Sharon,oh my god this is gonna be so embarrassing hi chris hi linda we were just wondering if we could get our porno back
2,12,Mr. Mackey,who tries to control the marriage and by that i mean whos dominating the aspects of the relationship
5,2,Kenny,yeah
3,17,Mr. Garrison,well mom dad i guess id better be going the concert is gonna start soon
4,15,Kenny,five bucks
4,8,Chef,ooooooohhh
1,4,Kyle,whats the matter dude
15,10,Kenny,oh fuck im gettin out of here
4,13,Kyle,not aw damnit
1,3,Randy,uhh
5,13,Kenny,eric well youre my best friend too
14,8,Kenny,aaaaaaaaaaaaaa
3,1,Cartman,i wasnt saying anything about their culture i was just saying their city smells like ass
4,3,Sharon,well for the time being i i mean of course they can stay
9,9,Butters,how do you know
8,5,Cartman,awesomo must rest his cpu system overloading
14,2,Sharon,nono just keep reading
4,16,Kenny,wow that is awesome
4,4,Mr. Garrison,kyle
10,7,Mr. Mackey,we have tried at this school to make eric understand that there are boundaries mkay but frankly we believe his behavioral problems start at home
4,12,Mr. Mackey,after being dismissed from teaching he went off to write romance novels his first novel sold well and everything was fine until he found out that his novel won the gay pulitzer prize and was considered the best homoerotic novel since huckleberry finn
14,2,Cartman,the tale of scrotie mcdickinass
3,11,Mr. Garrison,i hope you give them the chair  anyway children as i was saying hare krishnas are totally gay
6,16,Cartman,eh so you dont want to make your parents suffer and pay for mistreating you then  look ah i dont know what your parents did to you but if youre here i take it they pissed you off pretty good maybe you should at least hear what i have to offer
14,8,Kenny,fuck this
9,12,Sharon,what
12,10,Sharon,hes upstairs videotaping your grandfather in the bathtub
2,4,Mr. Mackey,i cant thank you enough for everything mkay i feel like my old self again
6,14,Mr. Garrison,newton was the first to discover that for every action theres a reaction  thank you butters now what do you think is gonna happen when i introduce the element of the gerbil to the endothermic heat of mr slaves ass  well lets see
4,7,Stan,were gon tuh take cartmans kidney
1,12,Chef,where
6,14,Mr. Garrison,but this is insane
12,6,Randy,everyone wake up  were here silicon valley californee
6,17,Mr. Garrison,oh no
16,12,Randy,and some gifts for the kids too after all were rich now
8,8,Sharon,you cant judge the merits of voting on whether or not your candidate won
13,13,Mr. Mackey,eric the student body president really doesnt have the kind of power that you
7,1,Cartman,aw god that movie pissed me off
5,4,Cartman,yeah ill see you around  sure is too bad about my grandma though
6,1,Butters,whoa everythings getting sparkly
4,13,Mr. Garrison,whos your famous aunt
3,17,Mr. Mackey,uh arent those our boys
1,11,Mr. Garrison,damn this beautiful face of mine damn it to hell  we have to get the surgery again mr hat i want to be the old me again
6,16,Sharon,randy whats going on
4,3,Sharon,i dont know how to tell you tell them
16,4,Cartman,well i better be going thanks so much ms broflovski i learned a ton
5,10,Mr. Mackey,well eric i suppose that just like everything else laughter can be relative  in in other words sometimes people see somethin so scary that nothin else scares them so the same could be true for funny things
5,9,Stan,ah sorry miss nicks isnt answering any more questions
4,7,Mr. Mackey,m mkay
5,9,Stan,hey look at what the postman brought me its a big brown package from afghanistan
11,5,Kyle,so the vatican took stans dad
9,8,Randy,dont be a fag  come on we can make it  we have to try
6,16,Sharon,hes right if we use lies and exaggerations to keep kids off drugs then theyre never gonna believe anything we tell them
6,16,Stan,huh
2,5,Mr. Mackey,yyou never noticed that
5,1,Mr. Garrison,look its all about context well for example recently i have come out and admitted that i was a homosexual im gay that means that now i can say the word fag on television they usually dont allow fag but because im gay its alright and with the new approval of the word shit that means that finally i am free to sayhey there shitty shitty fag fagshitty shitty fag fag how do you dohey there shitty shitty fag fagshitty shitty fag fag how do you do oh this is great
4,6,Kenny,but i wanna play now
17,1,Butters,hello how would you like to know the truth
1,10,Chef,mmmmm thats my favorite kind of chili
10,1,Chef,im goinna im gonna
5,5,Kyle,you cant leave the show starts soon
12,12,Randy,wooo change
18,10,Randy,i dont think so you son of a bitch
9,12,Stan,well i cant spend any money
4,2,Kenny,no way
12,6,Randy,marsh
2,13,Kyle,that bull sucks hes not even bucking or anything
4,9,Chef,youre welcome now go away
6,4,Cartman,okay all set
15,8,Stan,enchirito
9,7,Mr. Mackey,huh  oh oh oh right
6,5,Butters,oh jesus wait
2,15,Cartman,screw you
2,10,Sharon,damn it stanley you had us worried sick you have to get back to the hospital for a shot
6,12,Sharon,you have to understand that kennys body isnt up in the clouds he was cremated
6,7,Chef,oh welll hello there children
1,10,Chef,why bad
13,4,Randy,the question is how do we send a message to other girls in the school so this doesnt happen again
5,13,Butters,hehehey fellas ah hey fellas
7,10,Randy,just keep your voices down well stay the night in here well stay the whole winter if we have to
2,2,Cartman,ugh man this is fuckin weak
4,15,Kenny,and me
10,1,Chef,im gonna make love to your asshole children
4,4,Mr. Garrison,timmy did you not do your homework
17,3,Mr. Mackey,token ive been talkin with eric and hes really upset that you two arent gettin along you have some things you wanna say eric
10,10,Mr. Mackey,you need to watch for bad behavior and make sure anyone in the halls during class has a hall pass mkay
8,10,Butters,is it true trent boyett is getting out
2,15,Sharon,yes you do
2,11,Mr. Garrison,but you were just there why do you wanna go again so soon
2,12,Mr. Mackey,you know like tomfooleries
7,7,Sharon,what but dont the native americans know he has nowhere else to go
1,10,Mr. Garrison,damien do you need to sit in time out for a few minutes
5,11,Kyle,ih it sure is quiet up here in the mountains and its dry too do you have a humidihumidifier
7,13,Mr. Mackey,what
3,17,Kenny,i dont know
14,3,Randy,get your own medicinal marijuana cards youve all got perfectly good microwaves at home look im telling you guys its awesome i can have all the pot i want i get around faster than walking and wherever i need a seat i can just sit on my balls and let me tell you something else  chicks love em
3,14,Mr. Garrison,yeah why do we have to be their bitches every year
2,12,Sharon,randy will you please come get my wedding ring out of the sink
2,14,Chef,mr hat busted me out children did you do this
10,6,Kyle,it looks like were completely sealed in
5,5,Kyle,you cant leave the show starts soon
11,5,Kyle,happy easter jesus
4,17,Mr. Mackey,christmas is about presents if we all buy presents everyone benefits mkay
2,16,Kenny,okay
2,12,Randy,okay
2,4,Chef,okay
17,10,Mr. Mackey,uh but but wendy kim kardashian is considered to be extremely beautiful mkay
6,13,Randy,i love that lingerie  yeah you like that
6,1,Butters,wuhare my mom and dad back home yet
4,13,Mr. Garrison,broflovski i had your older brother kyle in my thirdgrade class hes a very smart kid im sure you are too  well thats bad news for everybody else because i will be grading you all on a curve
5,10,Mr. Mackey,well eric i suppose that just like everything else laughter can be relative  in in other words sometimes people see somethin so scary that nothin else scares them so the same could be true for funny things
2,2,Chef,what we have to get to the hospital
17,2,Sharon,well get over here big guy
18,10,Randy,i dont think so you son of a bitch
1,13,Chef,daaamn baby you cut right to the chase dont you
18,3,Butters,yeah whats the big idea harassing erica stan
1,3,Chef,thats scuzzlebutt
2,14,Mr. Garrison,thats good
9,2,Chef,we
15,9,Cartman,you guys were putting out fliers i had to put some out too
1,13,Cartman,kill you guys kill you guys
6,4,Cartman,see maybe they want to become sweet juicy veal steaks
13,4,Randy,yeah
2,16,Sharon,well i hope for his sake youre right
3,2,Mr. Mackey,i had a steak wrapped with bacon last night
1,4,Stan,hes part doberman and part wolf hes the toughest dog on the mountain
4,4,Chef,hows it goin
2,12,Kenny,huh
11,11,Butters,awww im the key could i not be the key morpheus i dont wanna be the key
15,11,Sharon,i dont know if i can really be that mad at you for doing something every guy in america does
9,14,Randy,wait a minute stan isnt that josh garrett up there hes from south park maybe hell let us in line with him
12,3,Kenny,get the fuck off of me
1,4,Mr. Garrison,i just act that way to get chicks dumb ass
8,6,Sharon,well were supposed to have the broflovskis and the stotches over for dinner tonight maybe ill invite mr jefferson too
2,14,Mr. Garrison,thank you for coming officer barbrady
9,6,Stan,dude he did that to me this morning
3,17,Kyle,hyeh yeah mung isnt even a word we made it up
2,4,Mr. Mackey,okay  now as i was sayin uh drugs are bad you shouldnt do drugs eh uh if you do them youre bad because drugs are bad mkay its a bad thing to do drugs souh so dont be bad by doing drugs unkay thatd be bad cause drugs are bad mkay
2,11,Mr. Mackey,the machine is aaaah uh thats probably bad
8,6,Stan,stop you fucking lunatic
7,15,Kenny,gah
1,10,Mr. Garrison,say hi to damien  and where are you from damien
2,4,Mr. Mackey,i will ms social worker i will  mkay
3,11,Kenny,you guys just fly away
14,2,Butters,oh no which book was that
17,9,Sharon,hes not allowed to come out of his room so you can talk to him through the door
9,8,Sharon,stanley
7,4,Randy,i like to rock but i dont wanna rock iraq the only kind of rockin america should do is the kind that we can all dance to yeah
12,14,Butters,what have i done to myself i should have known i wouldnt have the stomach to be a vampire i am so hungry
2,18,Stan,oh shut up assmaster youre just jealous cause they had me talk to him
9,14,Randy,but i put my faith in a higher power and i havent had a drink for five days now
14,2,Cartman,there is no point its just because sarah jessica parker is fuckin ugly
3,10,Kenny,no
15,9,Stan,ahhh i think well stick with kyle dude you made it across the border but it did take you two and a half weeks
6,13,Butters,playing lord of the rings  ugh wegh oh yeah
12,14,Butters,oh uh i wanna be a vampire
7,4,Mr. Mackey,all right everyone thank you all for comin out to protest the war mkay 
8,13,Cartman,oh didnt you hear kyle i used my new psychic abilities to catch the serial killer and i made a hundred bucks
7,13,Randy,pfft thats nones the cool
7,3,Mr. Mackey,welcome to detention you will be here till five oclock so make good study use of your time mkay
2,8,Stan,how can they do this to us doesnt anyone believe in tradition anymore
18,7,Butters,oh yeah that it would split my neurons and scramble my brains i forgot
9,2,Cartman,im talking about the end of all life as we know it  for the past several days ive been noticing a steep rise in the number of hippies coming to town  at first i thought maybe it was just a coincidence  then i saw this  three new drum circles have sprouted up here here and here theyre all growing in diameter at a rate of two hippies per hour what this means is that the hippies are conglomerating theyre thriving if you will i think that theyre setting up for a  hippie music festival
